money_supply_growth_pct,crude_oil_price,import_volume_index,interest_rate,inflation_index
15.3,170.4,124.7,5.1,11.42
11.6,223.7,83.3,6.6,9.31
18.8,115.1,137.4,5.1,11.39
22.9,202.7,126.0,8.8,13.97
25.9,208.5,123.4,9.7,16.04
11.7,136.6,113.6,4.2,9.66
18.2,93.6,127.5,6.1,11.5
26.9,164.6,92.5,7.7,10.96
9.8,84.8,103.4,3.3,6.8
17.4,110.0,127.8,2.8,11.38
22.3,221.9,97.2,2.9,13.65
15.2,185.9,146.4,4.5,12.63
22.4,143.2,142.2,4.2,14.9
23.9,188.8,106.1,9.4,12.34
9.6,228.1,125.8,9.9,11.78
22.1,160.6,95.3,7.4,11.47
19.7,163.6,91.0,4.9,10.43
24.5,121.8,141.3,7.7,12.9
12.5,120.7,83.4,2.8,7.58
9.5,238.9,107.9,3.4,12.63
