money_supply_growth_pct,crude_oil_price,import_volume_index,interest_rate,inflation_index
8.0,50.4,108.1,7.7,5.65
5.7,68.9,83.3,4.6,5.54
13.9,47.3,129.9,3.1,9.62
6.2,54.0,140.0,6.5,6.8
8.1,116.7,125.6,7.6,8.11
4.5,64.4,130.0,3.5,5.54
7.3,58.2,140.4,3.8,7.18
11.2,64.4,85.9,7.8,3.75
14.1,84.0,89.9,8.4,6.78
5.2,93.5,119.9,3.2,5.1
9.7,91.1,135.9,5.9,8.84
8.9,113.3,118.8,5.1,8.41
12.8,79.7,86.7,2.9,4.49
12.0,61.9,81.6,3.0,5.21
5.3,67.2,115.1,8.2,7.31
3.6,63.1,123.3,4.5,4.61
6.5,89.3,128.2,4.2,6.98
13.5,114.7,99.8,3.3,6.36
5.0,111.2,140.6,4.6,9.99
9.0,83.9,98.9,2.8,6.26
4.0,108.8,111.8,4.0,7.5
2.8,119.0,85.9,9.4,3.86
2.2,98.5,96.4,6.9,3.99
3.9,47.7,108.7,6.0,4.73
13.2,111.3,103.7,7.5,8.45
